Leistungsbereiche,Kürzel,Leistungsgruppen,Pallas Kliniken AG,Privatklinik Obach,Solothurner Spitäler AG,Engeriedspital (Lindenhofgruppe),Hirslanden Klinik Aarau,Inselspital Bern (Insel Gruppe AG),Kantonsspital Aarau,Kantonsspital Baselland,Klinik Beau-Site (Hirslanden Bern AG),Lindenhofspital (Lindenhofgruppe),Salem-Spital (Hirslanden Bern AG),St. Claraspital AG,Universitäts-Kinderspital beider Basel,Universitätsspital Basel
"Bewegungsapparat
chirurgisch",BEW1,Chirurgie Bewegungsapparat,1,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW2,Orthopädie,1,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW3,Handchirurgie,1,1,1,0,1,1,0,1,0,0,0,0,1,0
,BEW4,"Arthroskopie der Schulter und des
Ellbogens",0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW5,Arthroskopie des Knies,1,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW6,Rekonstruktion obere Extremität,0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW7,Rekonstruktion untere Extremität,0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW7.1,Elektive Erstprothese Hüfte,0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW7.2,Elektive Erstprothese Knie,0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW7.3,Wechseloperationen Hüft- und Knieprothesen,0,1,1,0,0,0,0,1,0,0,0,0,1,0
,BEW8,Wirbelsäulenchirurgie,0,0,1,0,0,0,0,1,0,0,1,0,1,1
,BEW8.1,Spezialisierte Wirbelsäulenchirurgie,0,0,1,0,0,0,0,1,0,0,0,0,1,1
,BEW9,Knochentumore,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,BEW10,Plexuschirurgie,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,BEW11,Replantationen,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,RHE1,Rheumatologie,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Rheumatologie,RHE2,Interdisziplinäre Rheumatologie,0,0,1,0,0,0,0,1,0,0,0,0,1,0
,GYN1,Gynäkologie,1,1,1,0,0,0,0,1,0,0,0,0,1,0
Gynäkologie,GYNT,Gynäkologische Tumoren,0,0,1,0,0,1,1,1,0,0,0,0,1,0
,GYN2,Maligne Neoplasien der Mamma,0,0,1,1,0,0,0,1,0,0,0,0,1,0
,PLC1,Eingriffe im Zusammenhang mit Transsexualität,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,GEBH,Geburtshäuser (ab 37. SSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geburtshilfe,GEB1,Grundversorgung Geburtshilfe (ab 35 0/7 SSW und >= 2000g),0,0,1,0,0,1,1,1,0,0,0,0,0,0
,GEB1.1,Geburtshilfe (ab 32 0/7 SSW und >= 1250g),0,0,0,0,0,1,1,0,0,0,0,0,0,1
,GEB1.1.1,Spezialisierte Geburtshilfe,0,0,0,0,0,1,1,0,0,0,0,0,0,1
,NEOG,"Grundversorgung Neugeborene Geburtshaus (ab 37.
SSW und GG 2000g)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neugeborene,NEO1,"Grundversorgung Neugeborene (ab 35 0/7 SSW und
GG >= 2000g)",0,0,1,0,0,0,1,1,0,0,0,0,1,0
,NEO1.1,Neonatologie (ab GA 32 0/7 SSW und GG 1250g),0,0,0,0,0,1,1,0,0,0,0,0,1,1
,NEO1.1.1,"Spezialisierte Neonatologie (ab GA 28 0/7 SSW und
GG 1000g)",0,0,0,0,0,1,1,0,0,0,0,0,1,1
,NEO1.1.1.1,"Hochspezialisierte Neonatologie (GA < 28 0/7 SSW
und GG < 1000g)",0,0,0,0,0,1,1,0,0,0,0,0,1,0
,ONK1,Onkologie,0,0,1,0,0,1,0,1,0,0,0,1,1,0
(Radio-)Onkologie,RAO1,Radio-Onkologie,0,0,1,0,0,1,0,1,0,0,0,0,1,0
,NUK1,Nuklearmedizin,0,0,1,0,0,0,0,1,0,0,0,0,1,0
,UNF1,Unfallchirurgie (Polytrauma) (IVHSM),0,0,1,0,0,0,0,1,0,0,0,0,1,0
"Schwere 
Verletzungen",UNF1.1,"Spezialisierte Unfallchirurgie (Schädel-Hirn-Trauma)
(IVHSM)",0,0,0,0,0,1,1,0,0,0,0,0,1,1
,UNF2,"Ausgedehnte Verbrennungen (IVHSM), Behandlung von schweren Verbrennungen bei Kindern (IVHSM)",0,0,0,0,0,0,0,0,0,0,0,0,1,0
,KINM,Kindermedizin,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Querschnittsbereiche,KINC,Kinderchirurgie,0,0,0,0,0,1,1,0,0,0,0,0,1,0
,KINB,Basis-Kinderchirurgie,0,0,1,0,0,1,1,0,0,0,0,0,1,0
,GER,Akutgeriatrie Kompetenzzentrum,0,0,1,0,0,0,0,1,0,0,0,0,0,0
,SpezPalCare,Spezialisierte Pallitaive Care im Spital,0,0,1,0,0,0,0,1,0,0,0,0,0,0
,AVA,Akutsomatische Versorgung Abhängigkeitskranker,0,0,1,0,0,0,0,1,0,0,0,0,0,0
