Leistungsbereiche,Kürzel,HFR,Daler,Clinique Générale,HIB,Petit Prince,HNE,Klinik Bethesda,CHUV,Inselspital,HUG
0,"URO1.1.7  
Implantation eines künstlichen Harnblasensphinkters",1,1,0,1,0,0,0,0,0,0
0,"URO1.1.8  
Perkut. Nephrostomie mit Desintegration von Steinmaterial",1,1,0,0,0,0,0,0,0,0
Pneumologie,"PNE1  
Pneumologie",1,0,0,1,0,0,0,0,0,0
0,"PNE1.1  
Pneumologie mit spez. Beatmungstherapie",1,0,0,1,0,0,0,0,0,0
0,"PNE1.2  
Abklärung zur oder Status nach Lungentransplantation",0,0,0,0,0,0,0,1,1,0
0,"PNE1.3  
Cystische Fibrose u. Primäre Pulmonale Hypertonie (kompl. Diagn.)",1,0,0,0,0,0,0,1,1,1
0,"PNE2  
Polysomnographie",1,0,0,0,0,0,0,1,1,0
Thoraxchirurgie,"THO1  
Thoraxchirurgie",1,0,0,0,0,0,0,0,0,0
0,"THO1.1  
Maligne Neoplasien des Atmungssystems (kurative Resektion)",1,0,0,0,0,0,0,0,0,0
0,"THO1.2  
Mediastinaleingriffe",1,0,0,0,0,0,0,0,0,0
Transplantationen,"TPL1  
Herztransplantation (IVHSM)",0,0,0,0,0,0,0,1,1,0
0,"TPL2  
Lungentransplantation (IVHSM)",0,0,0,0,0,0,0,1,1,0
0,"TPL3  
Lebertransplantation (IVHSM)",0,0,0,0,0,0,0,0,1,1
0,"TPL4  
Pankreastransplantation (IVHSM)",0,0,0,0,0,0,0,0,1,1
0,"TPL5  
Nierentransplantation (IVHSM)",0,0,0,0,0,0,0,1,1,1
0,"TPL6  
Darmtransplantation",0,0,0,0,0,0,0,0,1,0
0,"TPL7  
Milztransplantation",0,0,0,0,0,0,0,0,1,0
Orthopädie,"BEW1  
Chirurgie Bewegungsapparat",1,1,1,1,0,0,0,0,0,0
0,"BEW2  
Orthopädie",1,0,1,1,0,1,0,0,0,0
0,"BEW3  
Handchirurgie",1,1,1,0,0,0,0,0,0,0
0,"BEW4  
Arthroskopie der Schulter und des Ellbogens",1,0,1,1,0,0,0,0,0,0
0,"BEW5  
Arthroskopie des Knies",1,1,1,1,0,0,0,0,0,0
0,"BEW6  
Rekonstruktion obere Extremität",1,0,1,1,0,0,0,0,0,0
0,"BEW7  
Rekonstruktion untere Extremität",1,0,1,1,0,0,0,0,0,0
0,"BEW8  
Wirbelsäulenchirurgie",1,0,1,0,0,0,0,0,0,0
0,"BEW8.1  
Spezialisierte Wirbelsäulenchirurgie",1,0,1,0,0,0,0,0,0,0
0,"BEW9  
Knochentumore",0,0,0,0,0,0,0,1,1,1
0,"BEW10  
Plexuschirurgie",0,0,0,0,0,0,0,1,1,1
0,"BEW11  
Replantationen",0,0,0,0,0,0,0,1,1,0
Rheumatologie,"RHE1  
Rheumatologie",1,0,1,1,0,0,0,0,0,0
0,"RHE2  
Interdisziplinäre Rheumatologie",1,0,0,0,0,0,0,1,1,0
Gynäkologie,"GYN1  
Gynäkologie",1,1,1,1,0,0,0,0,0,0
0,"GYN1.1  
Maligne Neoplasien der Vulva und Vagina",1,0,0,0,0,0,0,0,0,0
0,"GYN1.2  
Maligne Neoplasien der Zervi x",1,0,0,0,0,1,0,1,1,0
0,"GYN1.3  
Maligne Neoplasien des Corpus uteri",1,1,1,1,0,0,0,0,0,0
0,"GYN1.4  
Maligne Neoplasien des Ovars",1,0,0,1,0,0,0,0,0,0
0,"GYN2  
Maligne Neoplasien der Mamma",1,1,1,1,0,0,0,0,0,0
0,"PLC1  
Eingriffe im Zusammenhang mit Transsexualität",1,0,0,0,0,0,0,1,1,0
Geburtshilfe,"GEBH  
Geburtshäuser (ab 37. SSW)",0,0,0,0,1,0,0,0,0,0
0,"GEB1  
Grundversorgung Geburtshilfe (ab 34. SSW und ≥ 2000 g)",1,1,0,1,0,0,0,0,0,0
0,"GEB1.1  
Geburtshilfe (ab 32. SSW und ≥ 1250 g)",1,0,0,0,0,0,0,0,0,0
0,"GEB1.1.1  
Spezialisierte Geburtshilfe",0,0,0,0,0,0,0,1,1,1
Neugeborene,"NEO1  
Grundversorgung Neugeborene (ab GA 34 0/7 SSW und GG 2000 g)",1,1,0,1,0,0,0,0,0,0
0,"NEO1.1  
Neonatologie (ab GA 32 0/7 SSW und GG 1250 g)",1,0,0,0,0,0,0,0,0,0
0,"NEO1.1.1  
Spezialisierte Neonatologie (ab GA 28 0/7 SSW und GG 1000 g)",0,0,0,0,0,0,0,0,1,1
0,NEO1.1.1.1  Hochspezialisierte Neonatologie (GA < 28 0/7 SSW und GG < 1000 g),0,0,0,0,0,0,0,1,1,0
(Radio-)Onkologie,"ONK1  
Onkologie",1,1,0,1,0,0,0,0,0,0
0,"RAO1  
Radio-Onkologie",1,0,0,0,0,0,0,0,0,0
0,"NUK1  
Nuklearmedizin",1,0,0,0,0,0,0,0,0,0
Schwere Verletzungen,"UNF1  
Unfallchirurgie (Polytrauma)",1,0,0,1,0,0,0,0,0,1
0,"UNF1.1  
Spezialisierte Unfallchirurgie (Schädel-Hirn-Trauma)",1,0,0,0,0,0,0,1,1,1
0,"UNF2  
Ausgedehnte Verbrennungen (IVHSM)",0,0,0,0,0,0,0,1,1,0
Querschnittsbereiche,"KINM  
Kindermedizin",1,0,0,1,0,0,0,0,0,0
0,"KINC  
Kinderchirurgie",1,0,0,1,0,0,0,0,0,0
0,"KINB  
Basis-Kinderchirurgie",1,1,1,0,0,0,0,0,0,0
0,"GER  
Akutgeriatrie Kompetenzzentrum",1,0,0,1,0,0,0,0,0,0
0,Krisenstation,1,0,0,0,0,0,0,0,0,0
