Hauptbereiche,Leistungsbereiche,Kürzel,Leistungsgruppen,"Insel, Insel Gruppe AG","Tiefenau, Insel Gruppe AG","Münsingen, Insel Gruppe AG","Aarberg, Insel Gruppe AG","Riggisberg, Insel Gruppe AG","Beau-Site, Hirslanden Bern AG","Permanence, Hirslanden Bern AG","Salem, Hirslanden Bern AG","Lindenhof, Lindenhof AG","Sonnenhof, Lindenhof AG","Engeried, Lindenhof AG","Gümligen, Siloah AG","Gümligen, Swiss Medical Network Hospitals SA","Bern, Stiftung Diaconis","Oster- mundigen, GH
Luna AG","Interlaken, Spitäler fmi AG","Frutigen, Spitäler fmi AG","Thun, STS AG","Zweisimmen, STS AG","Thun, Klinik Hohmad AG","Zweisimmen, GH Materinité Alpine","Burgdorf, RSE AG","Langnau, RSE AG","Langenthal, SRO AG","Biel, SZB AG","Biel, Hirslanden Klinik Linde AG Biel","Tschugg, Bethesda","St-Imier, Hôpital du Jura bernois SA","Moutier, Hôpital de Moutier SA","Delémont, Hôpital du Jura SA","Bürger- spital Solothurn, SoH AG","Fond. ""La Chrysalide"", Hôpital neuchâtelois","Pourtalès, Hôpital neuchâtelois","La-Chaux-de- Fonds, Hôpital neuchâtelois"
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.3.2,Cochlea Implantate (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO2,Schild- und Nebenschilddrüsenchirurgie,TRUE,,"befristet
(31.12.2019)",,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,KIE1,Kieferchirurgie,TRUE,,,,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1,Kraniale Neurochirurgie,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1.1,Spezialisierte Neurochirurgie,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1.1.1,Behandlungen von vaskulären Erkrankungen des ZNS ohne die komplexen vaskulären Anomalien (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1.1.1.1,"Behandlungen von komplexen vaskulären Anomalien
des ZNS (IVHSM)","IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1.1.2,Stereotaktische funktionelle Neurochirurgie (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH1.1.3,Epilepsiechirurgie (IVHSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH2,Spinale Neurochirurgie,TRUE,,"befristet
(31.12.2019)",,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH2.1,"Primäre und sekundäre intramedulläre
Raumforderungen (IVHSM)","IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurochirurgie,NCH3,Periphere Neurochirurgie,TRUE,,"befristet
(31.12.2019)",,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurologie,NEU1,Neurologie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,
Nervensystem & Sinnesorgane,Neurologie,NEU2,Sekundäre bösartige Neubildung des Nervensystems,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,
Nervensystem & Sinnesorgane,Neurologie,NEU2.1,Primäre Neubildung des Zentralnervensystems (ohne Palliativpatienten),TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurologie,NEU3,Zerebrovaskuläre Störungen,TRUE,TRUE,,,,TRUE,,,TRUE,hängige Beschwerde,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,
Nervensystem & Sinnesorgane,Neurologie,NEU3.1,"Zerebrovaskuläre Störungen im Stroke Center
(IVHSM)","IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Neurologie,NEU4,Epileptologie: Komplex-Diagnostik,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,
Nervensystem & Sinnesorgane,Neurologie,NEU4.1,Epileptologie: Komplex-Behandlung,"befristet
(30.06.2020)",,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Nervensystem & Sinnesorgane,Neurologie,NEU4.2,"Epileptologie: Komplex-Diagnostik mit
Intensivmonitoring (IVHSM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1,Ophthalmologie,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,hängige Beschwerde,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1.1,Strabologie,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1.2,"Orbita, Lider, Tränenwerge",TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1.3,Spezialisierte Vordersegementchirurgie,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1.4,Katarakt,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,hängige Beschwerde,,,,,,,,,,,,
Nervensystem & Sinnesorgane,Ophthalmologie,AUG1.5,Glaskörper/Netzhautprobleme,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,hängige Beschwerde,,,,,,,,,,,,
Innere Organe,Endokrinologie,END1,Endokrinologie,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,,,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,
Innere Organe,Gastroenterologie,GAE1,Gastroenterologie,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,"befristet
(30.04.2024)",,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,,"befristet
(30.04.2024)",hängige Beschwerde,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",
Innere Organe,Gastroenterologie,GAE1.1,Spezialisierte Gastroenterologie,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1,Viszeralchirurgie,TRUE,TRUE,,,"befristet
(31.12.2019)",TRUE,,"befristet
(30.06.2020)",TRUE,,,,TRUE,,,"befristet
(30.06.2020)",,TRUE,,,,TRUE,hängige Beschwerde,TRUE,TRUE,TRUE,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.1,Grosse Pankreaseingriffe (IVHSM),"IVHSM-Leistungsauftrag		","IVHSM-Leistungsauftrag		",,,,"IVHSM-Leistungsauftrag		",,,"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,"IVHSM-Leistungsauftrag		",,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.2,Grosse Lebereingriffe (IVHSM),"IVHSM-Leistungsauftrag		",,,,,"IVHSM-Leistungsauftrag		",,,"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.3,Oesophagusresektion (IVHSM),"IVHSM-Leistungsauftrag		",,,,,"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.4,Bariatrische Chirurgie,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,"befristet
(30.06.2020), hängige Beschwerde",,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.4.1,Spezialisierte bariatrische Chirurgie (IVHSM),"IVHSM-Leistungsauftrag		","IVHSM-Leistungsauftrag		",,,,"IVHSM-Leistungsauftrag		",,,"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,"IVHSM-Leistungsauftrag		",,,,,,,,,
Innere Organe,Viszeralchirurgie,VIS1.5,Tiefe Rektumeingriffe (IVHSM),"IVHSM-Leistungsauftrag		","IVHSM-Leistungsauftrag		",,,,"IVHSM-Leistungsauftrag		",,,"IVHSM-Leistungsauftrag		",,,,,,,,,"IVHSM-Leistungsauftrag		",,,,"IVHSM-Leistungsauftrag		",,"IVHSM-Leistungsauftrag		","IVHSM-Leistungsauftrag		",,,,,,,,,
Innere Organe,Hämatologie,HAE1,Aggressive Lymphome und akute Leukämien,TRUE,,,,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,
Innere Organe,Hämatologie,HAE1.1,"Hochaggressive Lymphome und akute Leukämien mit
kurativer Chemotherapie",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Hämatologie,HAE2,Indolente Lymphome und chronische Leukämien,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,,,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",,,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",
Innere Organe,Hämatologie,HAE3,Myeloproliferative Erkrankungen und Myelodysplastische Syndrome,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,,,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",,,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",
Innere Organe,Hämatologie,HAE4,Autologe Blutstammzelltransplantation,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Hämatologie,HAE5,"Allogene Blutstammzell-transplantation (IVHSM)
(Erwachsene)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Gefässe,GEF1,Gefässchirurgie periphere Gefässe (arteriell),TRUE,,,,,"befristet
(30.06.2020)",,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,"befristet
(30.06.2021)",,,,,,
Innere Organe,Gefässe,ANG1,Interventionen periphere Gefässe (arteriell),TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,hängige Beschwerde,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,,,
Innere Organe,Gefässe,GEFA,"Interventionen und Gefässchirurgie intraabdominale
Gefässe",TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,
Innere Organe,Gefässe,GEF3,Gefässchirurgie Carotis,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Gefässe,ANG3,Interventionen Carotis und extrakranielle Gefässe,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe,Gefässe,RAD1,"Interventionelle Radiologie (bei Gefässen nur
Diagnostik)",TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,hängige Beschwerde,TRUE,TRUE,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,
Innere Organe (Fortsetzung),Herz,HER1,Einfache Herzchirurgie,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1,Herzchirurgie und Gefässeingriffe mit Herzlungenmaschine (ohne Koronarchirurgie),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1.1,Koronarchirurgie (CABG),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1.2,Komplexe kongenitale Herzchirurgie,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1.3,Chirurgie und Interventionen an der thorakalen Aorta,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1.4,Offene Eingriffe an der Aortenklappe,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,HER1.1.5,Offene Eingriffe an der Mitralklappe,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,KAR1,Kardiologie (inkl. Schrittmacher),TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Herz,KAR1.1,Interventionelle Kardiologie (Koronareingriffe),TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Herz,KAR1.1.1,Interventionelle Kardiologie (Spezialeingriffe),TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,KAR1.2,Elektrophysiologie (Ablationen),TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Herz,KAR1.3,"Implantierbarer Cardioverter Defibrillator /
Biventrikuläre Schrittmacher (CRT)",TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Nephrologie,NEP1,Nephrologie (akute Nierenversagen wie auch chronisch terminales Nierenversagen),TRUE,"befristet
(31.12.2019)",,,,Dialyse1,,Dialyse1,TRUE,,,,,,,TRUE,,TRUE,Dialyse1,,,TRUE,,TRUE,TRUE,,,,Dialyse1,,,,,
Innere Organe (Fortsetzung),Urologie,URO1,Urologie ohne Schwerpunktstitel 'Operative Urologie',TRUE,,,"befristet
(31.12.2019)",,TRUE,,TRUE,TRUE,,hängige Beschwerde,,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1,Urologie mit Schwerpunktstitel 'Operative Urologie',TRUE,,,"befristet
(31.12.2019)",,TRUE,,TRUE,TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.1,Radikale Prostatektomie,TRUE,,,,,TRUE,,"befristet
(30.06.2020)",TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.2,Radikale Zystektomie,TRUE,,,,,TRUE,,,TRUE,,,,,,,"befristet
(30.06.2021)",,,,,,,,,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.3,Komplexe Chirurgie der Niere (Tumornephrektomie und Nierenteilsektion),TRUE,,,,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,"befristet
(30.06.2021)",TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.4,Isolierte Adrenalektomie,TRUE,,,,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.7,Implantation eines künstlichen Harnblasensphinkters,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,
Innere Organe (Fortsetzung),Urologie,URO1.1.8,"Perkutane Nephrostomie mit Desintegration von
Steinmaterial",TRUE,,,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,
Innere Organe (Fortsetzung),Pneumologie,PNE1,Pneumologie,TRUE,TRUE,TRUE,TRUE,TRUE,"befristet
(30.06.2020)",,TRUE,TRUE,"befristet
(31.12.2020)",TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,"befristet
(30.06.2020)",,,,,,,,
Innere Organe (Fortsetzung),Pneumologie,PNE1.1,Pneumologie mit spez. Beatmungstherapie,TRUE,TRUE,,,,"befristet
(30.06.2020)",,TRUE,TRUE,"befristet
(31.12.2020)",TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,"befristet
(30.06.2020)",,,,,,,,
Innere Organe (Fortsetzung),Pneumologie,PNE1.2,"Abklärung zur oder Status nach
Lungentransplantation",TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Pneumologie,PNE1.3,Cystische Fibrose,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Pneumologie,PNE2,Polysomnographie,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,"befristet
(30.06.2020)",,,,,,,,
Innere Organe (Fortsetzung),Thoraxchirurgie,THO1,Thoraxchirurgie,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,
Innere Organe (Fortsetzung),Thoraxchirurgie,THO1.1,Maligne Neoplasien des Atmungssystems (kurative Resektion durch Lobektomie / Pneumonektomie),TRUE,,,,,TRUE,,,"befristet
(30.06.2021)",,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Thoraxchirurgie,THO1.2,Mediastinaleingriffe,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL1,Herztransplantation (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL2,"Lungentransplantation (IVHSM,
Lungentransplantation bei Kindern)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL3,Lebertransplantation (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL 4,Pankreastransplantation (IVHSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL 5,Nierentransplantation (IVHSM),"IVHSM-Leistungsauftrag		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL6,Darmtransplantation,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innere Organe (Fortsetzung),Transplantationen,TPL7,Milztransplantation,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewegungs- apparat,Bewegungsapparat chirurgisch,BEW1,Chirurgie Bewegungsapparat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,
Bewegungs- apparat,Bewegungsapparat chirurgisch,BEW2,Orthopädie,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,
